St  Name                           Version                        Arch   Description                                                  Licenses
ii  unzip                          6.0-21                         armhf  De-archiver for .zip files                                   unknown
ii  usb-modeswitch                 2.5.0+repack0-1                armhf  mode switching tool for controlling "flip flop" USB devices  GPL-2
ii  usb-modeswitch-data            20170120-1                     all    mode switching data for usb-modeswitch                       GPL-2
ii  usbutils                       1:007-4                        armhf  Linux USB utilities                                          GPL-2
ii  util-linux                     2.29.2-1+deb9u1                armhf  miscellaneous system utilities                               BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  uuid                           1.6.2-1.5+b3                   armhf  Universally Unique Identifier Command-Line Tool              unknown
ii  v4l-utils                      1.12.3-1                       armhf  Collection of command line video4linux utilities             GPL-2 LGPL
ii  va-driver-all:armhf            1.7.3-2                        armhf  Video Acceleration (VA) API -- driver metapackage            BSD-3-clause Expat Expat-advertising GPL-2+ other
ii  vdpau-driver-all:armhf         1.1.1-6                        armhf  Video Decode and Presentation API for Unix (driver metapacka Expat other
ii  vim-common                     2:8.0.0197-4+deb9u1            all    Vi IMproved - Common files                                   GPL-2
ii  vim-tiny                       2:8.0.0197-4+deb9u1            armhf  Vi IMproved - enhanced vi editor - compact version           GPL-2
ii  vlc                            3.0.6-0+rpt1+deb9u1            armhf  multimedia player and streamer                               BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  vlc-bin                        3.0.6-0+rpt1+deb9u1            armhf  binaries from VLC                                            BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  vlc-data                       3.0.6-0+rpt1+deb9u1            all    Common data for VLC                                          BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  vlc-l10n                       3.0.6-0+rpt1+deb9u1            all    Translations for VLC                                         BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  vlc-plugin-base:armhf          3.0.6-0+rpt1+deb9u1            armhf  multimedia player and streamer (base plugins)                BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  vlc-plugin-notify:armhf        3.0.6-0+rpt1+deb9u1            armhf  LibNotify plugin for VLC                                     BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  vlc-plugin-qt:armhf            3.0.6-0+rpt1+deb9u1            armhf  multimedia player and streamer (Qt plugin)                   BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  vlc-plugin-samba:armhf         3.0.6-0+rpt1+deb9u1            armhf  Samba plugin for VLC                                         BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  vlc-plugin-skins2:armhf        3.0.6-0+rpt1+deb9u1            armhf  multimedia player and streamer (Skins2 plugin)               BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  vlc-plugin-video-output:armhf  3.0.6-0+rpt1+deb9u1            armhf  multimedia player and streamer (video output plugins)        BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
ii  vlc-plugin-video-splitter:armh 3.0.6-0+rpt1+deb9u1            armhf  multimedia player and streamer (video splitter plugins)      BSD-2-clause BSD-2-clause or LGPL-2.1+ BSD-3-clause BSD-3-clause or GPL-2+ CC0 CC0 or GPL-2+ Expat Expat or GPL-2 Expat or GPL-2+ FSFAP FSFULLR GPL-2 GPL-2+ GPL-2+ with AutoConf exception GPL-3+ with AutoConf exception GPL-3+ with Bison exception ISC LGPL-2+ LGPL-2.1 LGPL-2.1+ WTFPL
